nombre,descripcion,fecha,hora,ubicacion,capacidad,precio,categoria,organizador,requisitos,beneficios
"Conferencia Internacional de IA 2024","Explora el futuro de la inteligencia artificial con expertos mundiales. Incluye talleres prácticos y networking.","2024-07-15","09:00","Centro de Convenciones TechHub, Bogotá",250,120000,"Tecnología","TechCorp Internacional","Conocimientos básicos en programación","Certificado de participación, almuerzo incluido"
"Bootcamp Full Stack JavaScript","Curso intensivo de 3 días para dominar desarrollo web completo con JavaScript, Node.js y React.","2024-08-01","08:30","Academia de Desarrollo Web, Medellín",30,450000,"Educación","CodeAcademy Pro","Laptop propia, conocimientos HTML/CSS","Proyecto final, mentorías personalizadas"
"Festival de Música Electrónica","Noche épica con los mejores DJs nacionales e internacionales. Ambiente único bajo las estrellas.","2024-09-14","19:00","Parque Metropolitano, Cali",1500,85000,"Música","EventosMega SA","Mayor de edad","Bebida de bienvenida, zona VIP opcional"
"Simposio de Emprendimiento Verde","Conecta con emprendedores sostenibles y aprende sobre negocios eco-amigables.","2024-07-28","14:00","Centro Empresarial Sostenible, Cartagena",120,25000,"Negocios","EcoVentures Colombia","Ninguno","Kit ecológico, acceso a red de contactos"
"Masterclass de Cocina Francesa","Chef reconocido internacionalmente enseña técnicas clásicas de la cocina francesa.","2024-08-10","16:00","Instituto Culinario Le Cordon Bleu, Bogotá",20,180000,"Gastronomía","Le Cordon Bleu","Ninguno","Cena completa, recetario digital"
"Maratón Benéfica por la Educación","Carrera de 21K para recaudar fondos destinados a becas estudiantiles universitarias.","2024-09-22","06:00","Parque Nacional, Bogotá",800,35000,"Deportes","Fundación Futuro Brillante","Certificado médico reciente","Kit deportivo, medalla, desayuno"
"Exposición de Arte Digital Contemporáneo","Muestra innovadora que combina arte tradicional con tecnología de realidad virtual.","2024-08-05","18:00","Museo de Arte Moderno, Medellín",200,15000,"Arte","Colectivo Arte Digital","Ninguno","Catálogo digital, tour guiado"
"Summit de Marketing Digital 2024","Las últimas tendencias en marketing online, redes sociales y comercio electrónico.","2024-09-10","09:00","Hotel Marriott, Barranquilla",180,95000,"Negocios","Digital Marketing Hub","Experiencia en marketing","Toolkit digital, networking lunch"
"Taller de Fotografía Urbana","Aprende técnicas avanzadas de fotografía callejera con un fotógrafo premiado.","2024-07-20","10:00","Centro Histórico, Cartagena",25,75000,"Arte","Escuela de Fotografía Urbana","Cámara digital propia","Sesión de edición, impresiones"
"Hackathon de Soluciones Climáticas","48 horas intensivas desarrollando apps para combatir el cambio climático.","2024-08-16","18:00","Universidad Nacional, Bogotá",100,0,"Tecnología","ClimaTech Challenge","Conocimientos en programación","Premios en efectivo, mentorías"
"Congreso de Medicina Integrativa","Avances en medicina alternativa y complementaria respaldados por evidencia científica.","2024-09-05","08:00","Centro Médico Internacional, Cali",300,150000,"Salud","Asociación Médica Integrativa","Título profesional en salud","Créditos educativos, certificación"
"Festival de Danza Folclórica","Celebración de la diversidad cultural colombiana a través de danzas tradicionales.","2024-08-24","17:00","Teatro Municipal, Pasto",400,20000,"Cultura","Ministerio de Cultura","Ninguno","Programa cultural, presentación"
"Seminario de Inversiones y Finanzas","Estrategias inteligentes para hacer crecer tu dinero en el mercado actual.","2024-07-30","14:30","Centro Financiero, Bogotá",150,85000,"Finanzas","InvestSmart Colombia","Ninguno","Asesoría personalizada, recursos digitales"
"Workshop de Inteligencia Emocional","Desarrolla habilidades blandas esenciales para el liderazgo y trabajo en equipo.","2024-08-12","09:30","Hotel Dann Carlton, Medellín",60,120000,"Desarrollo Personal","Mindful Leadership","Ninguno","Evaluación psicométrica, coaching grupal"
"Feria de Ciencias e Innovación","Estudiantes y científicos presentan proyectos revolucionarios en ciencia y tecnología.","2024-09-18","10:00","Centro de Ciencias, Bucaramanga",500,12000,"Ciencia","Universidad Tecnológica","Ninguno","Entrada a laboratorios, experimentos"
